Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"BEKB","BEKAERT (D) SA","Equity","0.14","51.05","3,411.00","174,115.57","174,115.57","Materials","5827431","BE0974258874","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"AOX","ALSTRIA OFFICE REIT AG","Equity","0.14","13.28","13,064.00","173,512.19","173,512.19","Real Estate","B1VP947","DE000A0LD2U1","Xetra","Germany","USD","EUR","0.88"
"KRN","KRONES AG","Equity","0.14","115.99","1,495.00","173,410.93","173,410.93","Industrials","5523881","DE0006335003","Xetra","Germany","USD","EUR","0.88"
"HUFV.A","HUFVUDSTADEN AB","Equity","0.14","16.45","10,537.00","173,337.71","173,337.71","Real Estate","4449137","SE0000170375","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"AA.","AA PLC","Equity","0.14","3.01","57,573.00","173,250.48","173,250.48","Consumer Discretionary","BMSKPJ9","GB00BMSKPJ95","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DLG","DELONGHI S.P.A.","Equity","0.14","30.52","5,675.00","173,207.34","173,207.34","Consumer Discretionary","7169517","IT0003115950","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"LRE","LANCASHIRE HOLDINGS LTD","Equity","0.14","9.56","18,108.00","173,039.92","173,039.92","Financials","B0PYHC7","BMG5361W1047","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"IDR","INDRA SISTEMAS S.A.","Equity","0.14","14.54","11,876.00","172,633.21","172,633.21","Information Technology","4476210","ES0118594417","Bolsa De Madrid","Spain","USD","EUR","0.88"
"VATN","VALIANT HOLDING AG","Equity","0.14","115.79","1,490.00","172,527.13","172,527.13","Financials","7517893","CH0014786500","Swiss Exchange","Switzerland","USD","CHF","0.96"
"DEQ","DEUTSCHE EUROSHOP AG","Equity","0.14","39.06","4,412.00","172,349.65","172,349.65","Real Estate","4754972","DE0007480204","Xetra","Germany","USD","EUR","0.88"
"ULE","ULTRA ELECTRONICS HOLDINGS PLC","Equity","0.14","25.78","6,675.00","172,084.59","172,084.59","Industrials","0912332","GB0009123323","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MTG B","MODERN TIMES GROUP MTG B","Equity","0.14","34.59","4,971.00","171,962.54","171,962.54","Consumer Discretionary","B151P43","SE0000412371","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"RAA","RATIONAL AG","Equity","0.14","532.07","323.00","171,857.50","171,857.50","Industrials","5910609","DE0007010803","Xetra","Germany","USD","EUR","0.88"
"PSG","PROSEGUR S.A. COMPANIA DE SEGURIDA","Equity","0.14","6.41","26,715.00","171,240.24","171,240.24","Industrials","B8CLHY9","ES0175438003","Bolsa De Madrid","Spain","USD","EUR","0.88"
"CAI","CA IMMOBILIEN ANLAGEN AG","Equity","0.13","23.87","7,122.00","170,014.33","170,014.33","Real Estate","5681046","AT0000641352","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"UNI","UNIPOL GRUPPO FINANZIARIO SPA","Equity","0.13","4.56","37,232.00","169,859.83","169,859.83","Financials","B7SF135","IT0004810054","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"MS","MEDIASET","Equity","0.13","3.79","44,624.00","169,076.19","169,076.19","Consumer Discretionary","5077946","IT0001063210","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"WAF","SILTRONIC N AG","Equity","0.13","85.09","1,984.00","168,808.70","168,808.70","Information Technology","BYY5978","DE000WAF3001","Xetra","Germany","USD","EUR","0.88"
"CRBN","CORBION NV NV","Equity","0.13","30.79","5,467.00","168,324.27","168,324.27","Materials","BFRSRR7","NL0010583399","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"BAVA","BAVARIAN NORDIC A/S","Equity","0.13","56.75","2,954.00","167,633.68","167,633.68","Health Care","5564619","DK0015998017","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"ELM","ELEMENTIS PLC","Equity","0.13","3.82","43,845.00","167,309.14","167,309.14","Materials","0241854","GB0002418548","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"KBCA","KBC ANCORA","Equity","0.13","49.77","3,354.00","166,921.53","166,921.53","Financials","B1YWXY3","BE0003867844","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"WDP","WAREHOUSES DE PAUW REIT","Equity","0.13","103.15","1,607.00","165,764.21","165,764.21","Real Estate","5710360","BE0003763779","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"CRST","CREST NICHOLSON HOLDINGS PLC","Equity","0.13","6.86","24,140.00","165,665.70","165,665.70","Consumer Discretionary","B8VZXT9","GB00B8VZXT93","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MEL","MELIA HOTELS INTERNATIONAL","Equity","0.13","14.69","11,276.00","165,647.64","165,647.64","Consumer Discretionary","5738298","ES0176252718","Bolsa De Madrid","Spain","USD","EUR","0.88"
"SWEC B","SWECO B","Equity","0.13","24.19","6,792.00","164,300.86","164,300.86","Industrials","B1WT1L9","SE0000489098","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"TCG","THOMAS COOK GROUP","Equity","0.13","1.19","137,740.00","164,084.43","164,084.43","Consumer Discretionary","B1VYCH8","GB00B1VYCH82","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DRX","DRAX GROUP PLC","Equity","0.13","4.27","38,258.00","163,476.63","163,476.63","Utilities","B1VNSX3","GB00B1VNSX38","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"WALL B","WALLENSTAM AB-B SHS","Equity","0.13","9.44","17,277.00","163,064.83","163,064.83","Real Estate","BXVMBK2","SE0007074844","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"TIE1V","TIETO","Equity","0.13","30.87","5,274.00","162,833.11","162,833.11","Information Technology","5479702","FI0009000277","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"AXFO","AXFOOD","Equity","0.13","16.27","10,000.00","162,728.63","162,728.63","Consumer Staples","BVGH0K1","SE0006993770","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"ASHM","ASHMORE GROUP PLC","Equity","0.13","4.38","37,107.00","162,690.52","162,690.52","Financials","B132NW2","GB00B132NW22","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DFDS","DFDS A S","Equity","0.13","52.02","3,119.00","162,263.30","162,263.30","Industrials","BYSS4Q7","DK0060655629","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"CHF","CHF CASH","Cash","0.13","103.85","156,232.00","162,242.86","162,242.86","Cash and/or Derivatives","-","-","-","Switzerland","USD","CHF","0.96"
"DOM","DOMINOS PIZZA GROUP PLC","Equity","0.13","3.48","46,643.00","162,102.03","162,102.03","Consumer Discretionary","BYN5913","GB00BYN59130","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SYNT","SYNTHOMER PLC","Equity","0.13","6.28","25,756.00","161,814.96","161,814.96","Materials","0988742","GB0009887422","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CINE","CINEWORLD GROUP PLC","Equity","0.13","9.10","17,789.00","161,814.46","161,814.46","Consumer Discretionary","B15FWH7","GB00B15FWH70","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RAT","RATHBONE BROTHERS PLC","Equity","0.13","33.26","4,858.00","161,599.90","161,599.90","Financials","0214834","GB0002148343","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MOBN","MOBIMO HOLDING AG","Equity","0.13","277.53","582.00","161,523.96","161,523.96","Real Estate","B0BV896","CH0011108872","Swiss Exchange","Switzerland","USD","CHF","0.96"
"VONN","VONTOBEL HOLDING AG","Equity","0.13","65.16","2,474.00","161,216.57","161,216.57","Financials","7123104","CH0012335540","Swiss Exchange","Switzerland","USD","CHF","0.96"
"RSW","RENISHAW PLC","Equity","0.13","46.90","3,432.00","160,958.97","160,958.97","Information Technology","0732358","GB0007323586","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DIA","DIASORIN S.P.A.","Equity","0.13","75.96","2,118.00","160,884.61","160,884.61","Health Care","B234WN9","IT0003492391","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"KAZ","KAZ MINERALS PLC PLC","Equity","0.13","6.93","23,200.00","160,716.78","160,716.78","Materials","B0HZPV3","GB00B0HZPV38","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"WCH","WACKER CHEMIE AG","Equity","0.13","108.68","1,477.00","160,524.81","160,524.81","Materials","B11Y568","DE000WCH8881","Xetra","Germany","USD","EUR","0.88"
"BVS","BOVIS HOMES GROUP PLC","Equity","0.13","12.51","12,722.00","159,129.97","159,129.97","Consumer Discretionary","0185929","GB0001859296","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ASCL","ASCENTIAL PLC","Equity","0.13","4.18","37,811.00","158,090.46","158,090.46","Consumer Discretionary","BYM8GJ0","GB00BYM8GJ06","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"APPS","APPLUS SERVICES SA","Equity","0.12","12.49","12,542.00","156,708.84","156,708.84","Industrials","BM677T6","ES0105022000","Bolsa De Madrid","Spain","USD","EUR","0.88"
"NOEJ","NORMA GROUP","Equity","0.12","52.01","3,008.00","156,443.31","156,443.31","Industrials","B4RLNR1","DE000A1H8BV3","Xetra","Germany","USD","EUR","0.88"
"ELI","ELIA SYSTEM OPERATOR NV","Equity","0.12","54.63","2,852.00","155,811.45","155,811.45","Utilities","B09M9F4","BE0003822393","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"ANIM","ANIMA HOLDING","Equity","0.12","7.25","21,372.00","154,908.43","154,908.43","Financials","BLLJ381","IT0004998065","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"AVV","AVEVA GROUP PLC","Equity","0.12","25.57","6,050.00","154,718.39","154,718.39","Information Technology","BBG9VN7","GB00BBG9VN75","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAX","STROEER SE","Equity","0.12","59.24","2,611.00","154,676.08","154,676.08","Consumer Discretionary","B3S3S52","DE0007493991","Xetra","Germany","USD","EUR","0.88"
"OCI","OCI NV","Equity","0.12","22.21","6,961.00","154,579.51","154,579.51","Materials","BD4TZK8","NL0010558797","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"LEO","LEONI N AG","Equity","0.12","52.60","2,925.00","153,844.66","153,844.66","Consumer Discretionary","5773255","DE0005408884","Xetra","Germany","USD","EUR","0.88"
"EBRO","EBRO FOODS S.A.","Equity","0.12","22.49","6,823.00","153,460.50","153,460.50","Consumer Staples","5468324","ES0112501012","Bolsa De Madrid","Spain","USD","EUR","0.88"
"YNAP","YOOX NET-A-PORTER GROUP","Equity","0.12","29.60","5,164.00","152,840.32","152,840.32","Consumer Discretionary","B4YC9W4","IT0003540470","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"TCH","TECHNICOLOR SA","Equity","0.12","4.32","35,217.00","152,231.98","152,231.98","Consumer Discretionary","B4MMD80","FR0010918292","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"MELE","MELEXIS NV","Equity","0.12","79.99","1,903.00","152,214.83","152,214.83","Information Technology","7370063","BE0165385973","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"NEX","NEXANS","Equity","0.12","57.02","2,669.00","152,175.96","152,175.96","Industrials","7130836","FR0000044448","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"HEMF","HEMFOSA FASTIGHETER PUBL","Equity","0.12","10.85","14,011.00","151,971.76","151,971.76","Real Estate","BXRTNW3","SE0007126115","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"SZG","SALZGITTER AG","Equity","0.12","41.64","3,647.00","151,866.48","151,866.48","Materials","5465358","DE0006202005","Xetra","Germany","USD","EUR","0.88"
"LSG","LEROY SEAFOOD GROUP","Equity","0.12","5.36","28,151.00","150,767.43","150,767.43","Consumer Staples","4691916","NO0003096208","Oslo Bors Asa","Norway","USD","NOK","8.36"
"SRP","SERCO GROUP PLC","Equity","0.12","1.45","103,755.00","150,737.52","150,737.52","Industrials","0797379","GB0007973794","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DPLM","DIPLOMA PLC","Equity","0.12","14.06","10,719.00","150,731.34","150,731.34","Industrials","0182663","GB0001826634","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RDW","REDROW PLC","Equity","0.12","7.19","20,943.00","150,640.73","150,640.73","Consumer Discretionary","0728238","GB0007282386","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DTY","DIGNITY PLC","Equity","0.12","32.02","4,684.00","149,989.36","149,989.36","Consumer Discretionary","BRB37M7","GB00BRB37M78","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SVS","SAVILLS PLC","Equity","0.12","11.28","13,248.00","149,412.85","149,412.85","Real Estate","B135BJ4","GB00B135BJ46","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SOPH","SOPHOS GROUP PLC","Equity","0.12","5.73","25,933.00","148,689.34","148,689.34","Information Technology","BYZFZ91","GB00BYZFZ918","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"KIE","KIER GROUP PLC","Equity","0.12","16.09","9,201.00","148,089.96","148,089.96","Industrials","0491563","GB0004915632","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"IMA","INDUSTRIA MACCHINE AUTOMATICHE","Equity","0.12","87.77","1,676.00","147,094.68","147,094.68","Industrials","4557999","IT0001049623","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"VSVS","VESUVIUS PLC","Equity","0.12","7.16","20,477.00","146,625.98","146,625.98","Industrials","B82YXW8","GB00B82YXW83","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NOS","NOS SGPS SA","Equity","0.12","5.99","24,476.00","146,587.45","146,587.45","Consumer Discretionary","B0B9GS5","PTZON0AM0006","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.88"
"SXX","SIRIUS MINERALS PLC","Equity","0.12","0.39","374,334.00","145,411.91","145,411.91","Materials","B0DG3H2","GB00B0DG3H29","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NEO","NEOPOST SA","Equity","0.12","44.32","3,279.00","145,331.09","145,331.09","Information Technology","5617096","FR0000120560","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"AGL","AUTOGRILL S.P.A.","Equity","0.12","12.02","12,076.00","145,170.39","145,170.39","Consumer Discretionary","5256206","IT0001137345","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"EMMN","EMMI AG","Equity","0.12","721.74","201.00","145,069.84","145,069.84","Consumer Staples","B03PQZ8","CH0012829898","Swiss Exchange","Switzerland","USD","CHF","0.96"
"ORI","ORIFLAME HOLDING AG","Equity","0.12","36.63","3,959.00","145,013.17","145,013.17","Consumer Staples","BYL6RK3","CH0256424794","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"AKERBP","AKER BP","Equity","0.11","15.09","9,565.00","144,319.05","144,319.05","Energy","B1L95G3","NO0010345853","Oslo Bors Asa","Norway","USD","NOK","8.36"
"SUN","SULZER AG AG","Equity","0.11","111.64","1,292.00","144,233.86","144,233.86","Industrials","4854719","CH0038388911","Swiss Exchange","Switzerland","USD","CHF","0.96"
"BYG","BIG YELLOW GROUP PLC","Equity","0.11","10.14","14,159.00","143,553.51","143,553.51","Real Estate","0286941","GB0002869419","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TLG","TLG IMMOBILEN AG","Equity","0.11","20.24","7,007.00","141,855.05","141,855.05","Real Estate","BR2Z8G3","DE000A12B8Z4","Xetra","Germany","USD","EUR","0.88"
"NET B","NETENT","Equity","0.11","8.52","16,635.00","141,747.88","141,747.88","Information Technology","BD467Z8","SE0009773237","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"WLN","WORLDLINE SA","Equity","0.11","37.75","3,740.00","141,171.92","141,171.92","Information Technology","BNFWR44","FR0011981968","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"SZU","SUEDZUCKER AG AG","Equity","0.11","20.93","6,729.00","140,870.24","140,870.24","Consumer Staples","5784462","DE0007297004","Xetra","Germany","USD","EUR","0.88"
"POST","OESTERREICHISCHE POST AG","Equity","0.11","43.43","3,236.00","140,527.96","140,527.96","Industrials","B1577G7","AT0000APOST4","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"PWTN","PANALPINA WELTTRANSPORT (HOLDING)","Equity","0.11","138.74","1,010.00","140,127.73","140,127.73","Industrials","B0KJTG5","CH0002168083","Swiss Exchange","Switzerland","USD","CHF","0.96"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Equity","0.11","2.14","65,300.00","139,936.38","139,936.38","Real Estate","B4WFW71","GB00B4WFW713","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"PAG","PARAGON GROUP OF COMPANIES","Equity","0.11","5.36","26,031.00","139,543.84","139,543.84","Financials","B2NGPM5","GB00B2NGPM57","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BAKKA","BAKKAFROST","Equity","0.11","35.48","3,928.00","139,354.11","139,354.11","Consumer Staples","B6632T7","FO0000000179","Oslo Bors Asa","Norway","USD","NOK","8.36"
"TKTT","TARKETT SA SA","Equity","0.11","45.84","3,032.00","139,000.24","139,000.24","Industrials","BGH15L3","FR0004188670","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"KORI","KORIAN SA","Equity","0.11","33.30","4,140.00","137,855.20","137,855.20","Health Care","B1HKRM0","FR0010386334","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"JLG","JOHN LAING GROUP PLC","Equity","0.11","3.96","34,651.00","137,340.48","137,340.48","Industrials","BVC3CB8","GB00BVC3CB83","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"WIHL","WIHLBORGS FASTIGHETER","Equity","0.11","21.11","6,476.00","136,729.73","136,729.73","Real Estate","B156XW2","SE0001413600","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"AED","AEDIFICA REIT SA","Equity","0.11","84.53","1,612.00","136,256.17","136,256.17","Real Estate","B1G5XP1","BE0003851681","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"BONAV B","BONAVA LINE B","Equity","0.11","16.90","8,019.00","135,521.97","135,521.97","Consumer Discretionary","BZBXJW7","SE0008091581","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"NEM","NEMETSCHEK","Equity","0.11","74.35","1,816.00","135,024.06","135,024.06","Information Technology","5633962","DE0006452907","Xetra","Germany","USD","EUR","0.88"
"COPN","COSMO PHARMACEUTICALS NV","Equity","0.11","172.49","778.00","134,197.83","134,197.83","Health Care","BYYLS68","NL0011832936","Swiss Exchange","Switzerland","USD","CHF","0.96"
"LCL","LADBROKES CORAL GROUP PLC","Equity","0.11","1.48","90,418.00","133,819.87","133,819.87","Consumer Discretionary","B0ZSH63","GB00B0ZSH635","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"FNAC","FNAC DARTY SA","Equity","0.11","82.80","1,609.00","133,231.52","133,231.52","Consumer Discretionary","B7VQL46","FR0011476928","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"METSB","METSA BOARD CORPORATION B","Equity","0.10","7.30","18,072.00","131,916.93","131,916.93","Materials","5071432","FI0009000665","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"GRI","GRAINGER PLC","Equity","0.10","3.36","39,222.00","131,740.46","131,740.46","Real Estate","B04V127","GB00B04V1276","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HILS","HILL AND SMITH HOLDINGS PLC","Equity","0.10","17.77","7,416.00","131,747.78","131,747.78","Materials","0427030","GB0004270301","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"GRG","GREGGS PLC","Equity","0.10","13.69","9,569.00","130,966.74","130,966.74","Consumer Discretionary","B63QSB3","GB00B63QSB39","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CIE","CIE AUTOMOTIVE SA","Equity","0.10","22.96","5,688.00","130,592.34","130,592.34","Consumer Discretionary","B15CL93","ES0105630315","Bolsa De Madrid","Spain","USD","EUR","0.88"
"ENTRA","ENTRA","Equity","0.10","12.38","10,470.00","129,661.38","129,661.38","Real Estate","BRJ2VC4","NO0010716418","Oslo Bors Asa","Norway","USD","NOK","8.36"
"SFER","SALVATORE FERRAGAMO","Equity","0.10","26.80","4,809.00","128,895.27","128,895.27","Consumer Discretionary","B5VZ053","IT0004712375","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"WKP","WORKSPACE GROUP REIT PLC","Equity","0.10","11.15","11,547.00","128,733.56","128,733.56","Real Estate","B67G5X0","GB00B67G5X01","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"GNS","GENUS PLC","Equity","0.10","22.36","5,753.00","128,648.93","128,648.93","Health Care","0207458","GB0002074580","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"COP","COMPUGROUP MEDICAL","Equity","0.10","57.06","2,254.00","128,617.11","128,617.11","Health Care","5094536","DE0005437305","Xetra","Germany","USD","EUR","0.88"
"TRE","TECNICAS REUNIDAS S.A.","Equity","0.10","39.22","3,276.00","128,477.55","128,477.55","Energy","B16FTB9","ES0178165017","Bolsa De Madrid","Spain","USD","EUR","0.88"
"IRE","IREN S.P.A.","Equity","0.10","2.29","55,984.00","128,471.33","128,471.33","Utilities","4783211","IT0003027817","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"PBB","DEUTSCHE PFANDBRIEFBANK AG","Equity","0.10","12.65","10,139.00","128,302.98","128,302.98","Financials","BYM6917","DE0008019001","Xetra","Germany","USD","EUR","0.88"
"AGR","ASSURA REIT PLC","Equity","0.10","0.82","156,409.00","127,895.29","127,895.29","Real Estate","BVGBWW9","GB00BVGBWW93","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"INW","INFRASTRUTTURE WIRELESS ITALIANE","Equity","0.10","5.66","22,581.00","127,743.61","127,743.61","Telecommunications","BZ0P4R4","IT0005090300","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"CON","CONZZETA HOLDING AG","Equity","0.10","985.51","128.00","126,145.70","126,145.70","Industrials","BP4W2Q6","CH0244017502","Swiss Exchange","Switzerland","USD","CHF","0.96"
"TKA","TELEKOM AUSTRIA AG","Equity","0.10","7.84","15,928.00","124,805.09","124,805.09","Telecommunications","4635088","AT0000720008","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"CNE","CAIRN ENERGY PLC","Equity","0.10","2.29","54,528.00","124,689.46","124,689.46","Energy","B74CDH8","GB00B74CDH82","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ZPG","ZPG PLC","Equity","0.10","4.60","26,935.00","123,882.34","123,882.34","Information Technology","BMHTHT1","GB00BMHTHT14","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"AF B","AF B","Equity","0.10","20.37","6,068.00","123,591.25","123,591.25","Industrials","BN791J6","SE0005999836","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"INH","INDUS HOLDING AG","Equity","0.10","71.19","1,728.00","123,021.73","123,021.73","Industrials","4943510","DE0006200108","Xetra","Germany","USD","EUR","0.88"
"JEN","JENOPTIK AG","Equity","0.10","25.31","4,858.00","122,950.17","122,950.17","Information Technology","5470556","DE0006229107","Xetra","Germany","USD","EUR","0.88"
"NHH","NH HOTEL GROUP SA","Equity","0.10","5.99","20,407.00","122,311.20","122,311.20","Consumer Discretionary","4571784","ES0161560018","Bolsa De Madrid","Spain","USD","EUR","0.88"
"KEMIRA","KEMIRA","Equity","0.10","12.77","9,528.00","121,712.20","121,712.20","Materials","4513612","FI0009004824","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"SWTQ","SCHWEITER TECHNOLOGIES AG","Equity","0.10","1,293.94","94.00","121,630.41","121,630.41","Industrials","5984024","CH0010754924","Swiss Exchange","Switzerland","USD","CHF","0.96"
"FUR","FUGRO NV NV","Equity","0.10","15.24","7,962.00","121,368.35","121,368.35","Energy","B096LW7","NL0000352565","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"GBF","BILFINGER","Equity","0.10","39.89","3,039.00","121,227.95","121,227.95","Industrials","5117381","DE0005909006","Xetra","Germany","USD","EUR","0.88"
"TOM2","TOMTOM NV","Equity","0.10","10.06","12,042.00","121,083.38","121,083.38","Consumer Discretionary","B08TZQ9","NL0000387058","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"ADJ","ADO PROPERTIES","Equity","0.10","41.46","2,912.00","120,728.59","120,728.59","Real Estate","BYNXBZ5","LU1250154413","Xetra","Germany","USD","EUR","0.88"
"SNR","SENIOR PLC","Equity","0.10","3.04","39,671.00","120,714.79","120,714.79","Industrials","0795823","GB0007958233","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"VCT","VICAT S.A.","Equity","0.10","70.31","1,708.00","120,097.86","120,097.86","Materials","5763201","FR0000031775","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"SDA1V","SPONDA","Equity","0.10","5.78","20,757.00","120,029.19","120,029.19","Real Estate","5472563","FI0009006829","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"BRW","BREWIN DOLPHIN HOLDINGS PLC","Equity","0.10","4.40","27,298.00","120,002.44","120,002.44","Financials","0176581","GB0001765816","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"GFRD","GALLIFORD TRY PLC","Equity","0.09","15.20","7,841.00","119,195.27","119,195.27","Industrials","B3Y2J50","GB00B3Y2J508","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TALK","TALKTALK TELECOM GROUP PLC","Equity","0.09","2.39","49,835.00","119,055.73","119,055.73","Telecommunications","B4YCDF5","GB00B4YCDF59","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MTO","MITIE GROUP PLC","Equity","0.09","3.48","34,098.00","118,503.42","118,503.42","Industrials","0465740","GB0004657408","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DAE","DAETWYLER HOLDING AG","Equity","0.09","165.33","712.00","117,711.62","117,711.62","Industrials","B1Z4WD0","CH0030486770","Swiss Exchange","Switzerland","USD","CHF","0.96"
"PNDX B","PANDOX","Equity","0.09","17.79","6,571.00","116,883.10","116,883.10","Consumer Discretionary","BZ0CT92","SE0007100359","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"PZC","PZ CUSSONS PLC","Equity","0.09","4.40","26,433.00","116,371.02","116,371.02","Consumer Staples","B19Z143","GB00B19Z1432","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"AR4","AURELIUS","Equity","0.09","52.11","2,233.00","116,365.49","116,365.49","Financials","B17NLM7","DE000A0JK2A8","Xetra","Germany","USD","EUR","0.88"
"ATT","ATTENDO","Equity","0.09","11.86","9,780.00","115,975.93","115,975.93","Health Care","BZ1N262","SE0007666110","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"SALM","SALMAR ASA","Equity","0.09","23.99","4,820.00","115,633.86","115,633.86","Consumer Staples","B1W5NW2","NO0010310956","Oslo Bors Asa","Norway","USD","NOK","8.36"
"IPS","IPSOS SA","Equity","0.09","36.50","3,163.00","115,441.91","115,441.91","Consumer Discretionary","B188NJ2","FR0000073298","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"UQA","UNIQA INSURANCE GROUP AG","Equity","0.09","9.63","11,965.00","115,191.63","115,191.63","Financials","4422332","AT0000821103","Wiener Boerse Ag","Austria","USD","EUR","0.88"
